seed,method,time,theta_err,w2_train,w2_train_max,shift_err,w2_test
0,JSKDS,0.7180867195129395,0.10804335193511348,0.17006254188960357,0.20830543812931845,0.07170632088298591,0.2773737519091124
0,joint KDS,20.868520259857178,0.1329155873737485,0.19662711849130743,0.21741669736137462,0.06872671464046341,0.39468922982044036
0,pooled SKDS,3.2120440006256104,0.11774225729027962,0.3228636417444956,0.411417807448316,0.1559948276309006,0.2751961410140738
1,JSKDS,0.6749148368835449,0.067470173459546,0.15910643239342254,0.25948614517893587,0.0764275144319574,0.40633081363286805
1,joint KDS,13.592803001403809,0.13344166052418077,0.22306149654644872,0.3110758690344217,0.11090540402711371,0.9645107457841074
1,pooled SKDS,1027.5788958072662,0.08886380095139128,0.310821855719743,0.4306820527235252,0.14042922951879308,0.3771509276582712
2,JSKDS,0.708646297454834,0.07898623943314402,0.134683096615248,0.20615590687337848,0.07039509436028837,0.22609721255629364
2,joint KDS,12.946115970611572,0.12149939054246554,0.1579607478895709,0.2144941040607939,0.08911749062403997,0.4142139569529036
2,pooled SKDS,3.0598700046539307,0.12249938175714348,0.3783996576425531,0.4363915388403274,0.23346561809288408,0.4440960307275795
3,JSKDS,0.677577018737793,0.10037275629802289,0.17350734218052846,0.2271619271280654,0.08645017050217443,0.35112788910300385
3,joint KDS,12.831376075744629,0.11610897797219068,0.19369592278030534,0.23340662640018434,0.098162036174687,0.371066558258392
3,pooled SKDS,3.154521942138672,0.17540943589713598,0.5851456818347102,0.8032636620791537,0.33510527063400763,0.603793192638345
4,JSKDS,0.6589381694793701,0.09020641369016467,0.1300286830240819,0.1797331850379546,0.08902836984436796,0.224988856123413
4,joint KDS,1027.1338119506836,0.10349173897389462,0.14897723025451165,0.21575967625732725,0.10529159549689088,0.19328531851291267
4,pooled SKDS,3.252133846282959,0.10619949437583051,0.4231877029263799,0.501162011179938,0.31075454641690486,0.421866117713469
5,JSKDS,0.7209341526031494,0.06471834716057441,0.11288692509124858,0.14999802079294944,0.0524324473160208,0.20977596503802987
5,joint KDS,14.306387901306152,0.08349575283860163,0.13555146898019554,0.1687193420218685,0.06890791246670905,0.28815644135825724
5,pooled SKDS,3.254404306411743,0.16575137577965243,0.5821149030392812,0.7216789867305006,0.3840827732724468,0.5365791181725511
6,JSKDS,0.6704361438751221,0.10810988312142607,0.17306063127863366,0.19472202807610994,0.054035676799898666,0.22447229635444263
6,joint KDS,12.549126863479614,0.14212895215962876,0.22147307359510338,0.24780630544580273,0.05681121329344033,0.29079951542034244
6,pooled SKDS,3.2688870429992676,0.1657546413734093,0.4820927250634598,0.6199644900738777,0.1985498685177226,0.36058363841952135
7,JSKDS,0.7114009857177734,0.09123501672479804,0.16919375123174155,0.2130406302020508,0.10603021030502383,0.36874804905040603
7,joint KDS,960.852884054184,0.12627376727494544,0.1911546488507369,0.2144408564596559,0.126970382340375,0.3742214809875461
7,pooled SKDS,3.180912971496582,0.13634528559598755,0.5464049826553378,0.887419031892476,0.3544085161682259,0.3111932328395853
8,JSKDS,0.6527409553527832,0.09770661862110966,0.13870392437865897,0.18360019543313752,0.08803834784114276,0.41672764942147633
8,joint KDS,12.59170389175415,0.13344848165929937,0.16173768739922997,0.19912891569079327,0.08953682367995669,0.584912719388695
8,pooled SKDS,3.4663891792297363,0.13029489736311725,0.38837312288676973,0.48292851327066033,0.22686618402416617,0.5009221469026924
9,JSKDS,0.7027268409729004,0.07974445944594873,0.1376154942257819,0.21446048634341547,0.05430005609828277,0.18145720249779757
9,joint KDS,12.557573080062866,0.10967620085938605,0.15814805101174806,0.2292273902225902,0.0624478266561184,0.25477359878955935
9,pooled SKDS,3.188499927520752,0.18085305115825548,0.6530226923683544,0.918349460409581,0.36468071649537326,0.5210581100342865
