seed,method,time,theta_err,shift_err,w2_train,w2_test
0,JSKDS joint (thesis),90.97659993171692,0.04835204067953639,0.04539850633479395,0.08538758649765577,0.1764332263148619
0,SKDS Alg. 1 (paper),50.48623728752136,0.07179036312659842,0.0592759048621376,0.13733389743601548,0.20313791196124786
0,KDS Alg. 1 (Lorch),52.685490131378174,0.08099483913930274,0.06117861864217753,0.15078326017149618,0.251656057831241
1,JSKDS joint (thesis),196.0975058078766,0.04204137387046936,0.04053917330909775,0.07565482217729143,0.1543490703170888
1,SKDS Alg. 1 (paper),50.838462352752686,0.08461646817607747,0.04361929123008905,0.12560223630405282,0.5899800939402262
1,KDS Alg. 1 (Lorch),47.02194309234619,0.0861329163651405,0.04701127033053264,0.13096309395370181,0.6683987628258691
2,JSKDS joint (thesis),220.1745638847351,0.03217060507746203,0.031004899191033743,0.05944700739771998,0.1318360895584656
2,SKDS Alg. 1 (paper),22.92390775680542,0.05268904767192392,0.04457698168805635,0.08922436947731353,0.12576461145653622
2,KDS Alg. 1 (Lorch),18.061870098114014,0.052771306013066316,0.039868187739374776,0.08683339122827541,0.19843056319252017
3,JSKDS joint (thesis),399.052433013916,0.045119703724535935,0.04617417487693061,0.086447053106072,0.18979750571390364
3,SKDS Alg. 1 (paper),28.527000188827515,0.06546881663051601,0.05732333465723939,0.1324715593048423,0.1728834917149654
3,KDS Alg. 1 (Lorch),11.414538860321045,0.06717156114887418,0.05989017987030227,0.1374362430125281,0.24536180906448793
4,JSKDS joint (thesis),26.689024925231934,0.0366175590065334,0.0519430557005261,0.08326557919607602,0.10154245221569873
4,SKDS Alg. 1 (paper),9.166786909103394,0.07103744957467178,0.07159030988367585,0.13962335364901482,0.17108169761828249
4,KDS Alg. 1 (Lorch),9.19608211517334,0.07202224163700374,0.0663519920361463,0.14831051672446324,0.18322783967955628
5,JSKDS joint (thesis),29.06841492652893,0.03605346120139014,0.03914634627125385,0.07266941863413659,0.1797811692713635
5,SKDS Alg. 1 (paper),8.606247901916504,0.06795824362511911,0.048637527841254746,0.09537169252748623,0.4606893880242844
5,KDS Alg. 1 (Lorch),10.618801832199097,0.08112420019459346,0.05810307453654804,0.10829320378505354,0.5724541999757711
6,JSKDS joint (thesis),26.021850109100342,0.03812514944314393,0.02803011090660568,0.07591351061063119,0.1385687601046909
6,SKDS Alg. 1 (paper),9.031613111495972,0.05565991941538889,0.03093268786757832,0.10221983451471486,0.25385807226223506
6,KDS Alg. 1 (Lorch),9.422247886657715,0.06676704987452185,0.032743988789953896,0.10616918815226609,0.3287542144539383
7,JSKDS joint (thesis),29.401319980621338,0.04686280911073898,0.04625565367732474,0.06931674618326537,0.1410009760273171
7,SKDS Alg. 1 (paper),9.394118785858154,0.057030645810404325,0.051685307489546126,0.10462600817193705,0.1933425978059201
7,KDS Alg. 1 (Lorch),9.983154773712158,0.06731504795808668,0.053029319295772426,0.10370563001710424,0.21746257495494964
8,JSKDS joint (thesis),27.695175886154175,0.04255031648347699,0.027196177856413054,0.06309789477523942,0.14743971841181183
8,SKDS Alg. 1 (paper),9.40802264213562,0.043845772061161345,0.04467344683721588,0.09493813401078588,0.16446456868580592
8,KDS Alg. 1 (Lorch),9.303705930709839,0.049762057476918434,0.049070480003004124,0.11642445825492105,0.22129343203206578
9,JSKDS joint (thesis),44.84975576400757,0.04743154272454133,0.04096758036113285,0.09027977700387207,0.11277123899123596
9,SKDS Alg. 1 (paper),8.659892082214355,0.06406652724289048,0.0540879815052239,0.10538699179506457,0.11055001940541694
9,KDS Alg. 1 (Lorch),10.561662912368774,0.06442551336924081,0.05011520053059379,0.10360201114883323,0.11789556931706018
